item_code,name,description,type,category,subtype,rarity,image_url,buy_price,sell_price,price_currency,magic_value,stackable,max_stack,consume_policy,pet_scope
10001,Thần dược tiến hóa Alpha,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_alpha,legendary,item_30993.gif,150,0,petagold,3,1,999,single_use,domestic_only
10002,Thần dược tiến hóa Beta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_beta,legendary,item_31223.gif,150,0,petagold,,1,999,single_use,all
10003,Thần dược tiến hóa Gamma,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_gamma,legendary,,150,0,petagold,,1,999,single_use,all
10004,Thần dược tiến hóa Delta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_delta,legendary,item_31225.gif,150,0,petagold,,1,999,single_use,all
10005,Thần dược tiến hóa Epsilon,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_epsilon,legendary,item_31226.gif,150,0,petagold,,1,999,single_use,all
10006,Thần dược tiến hóa Zeta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_zeta,legendary,item_31242.gif,150,0,petagold,,1,999,single_use,all
10007,Thần dược tiến hóa Eta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_eta,legendary,item_31243.gif,150,0,petagold,,1,999,single_use,all
10008,Thần dược tiến hóa Theta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_theta,legendary,item_31244.gif,150,0,petagold,,1,999,single_use,all
10009,Thần dược tiến hóa Iota,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_iota,legendary,,150,0,petagold,,1,999,single_use,all
10010,Thần dược tiến hóa Kappa,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_kappa,legendary,,150,0,petagold,,1,999,single_use,all
10011,Thần dược tiến hóa Lambda,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,evolution_lambda,legendary,,150,0,petagold,,1,999,single_use,all
