item_code,name,description,type,category,subtype,rarity,image_url,buy_price,sell_price,price_currency,magic_value,stackable,max_stack,consume_policy,pet_scope
10001,Thần dược tiến hóa Alpha,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_30993.gif,150,0,petagold,3,1,999,single_use,domestic_only
10002,Thần dược tiến hóa Beta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_31223.gif,150,0,petagold,,1,999,single_use,all
10003,Thần dược tiến hóa Gamma,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10004,Thần dược tiến hóa Delta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_31225.gif,150,0,petagold,,1,999,single_use,all
10005,Thần dược tiến hóa Epsilon,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_31226.gif,150,0,petagold,,1,999,single_use,all
10006,Thần dược tiến hóa Zeta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_31242.gif,150,0,petagold,,1,999,single_use,all
10007,Thần dược tiến hóa Eta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_31243.gif,150,0,petagold,,1,999,single_use,all
10008,Thần dược tiến hóa Theta,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,item_31244.gif,150,0,petagold,,1,999,single_use,all
10009,Thần dược tiến hóa Iota,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10010,Thần dược tiến hóa Kappa,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10011,Thần dược tiến hóa Lambda,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10012,Thần dược tiến hóa Omega,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10013,Thần dược tiến hóa Sigma,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10014,Thần dược tiến hóa Omicron,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10015,Thần dược phản tiến hóa,Thần dược tiến hóa giúp thú cưng tăng đẳng cấp tức thời và thay đổi hình dạng.,evolve,transform,transform,legendary,,150,0,petagold,,1,999,single_use,all
10101,Dây chuyền đá,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,common,item_30965.gif,5000,800,peta,1,1,999,single_use,all
10102,Dây chuyền hổ phách,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,common,item_30966.gif,7000,800,peta,2,1,999,single_use,all
10103,Dây chuyền thạch anh,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,common,item_30967.gif,9000,800,peta,3,1,999,single_use,all
10104,Dây chuyền mặt trời,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,rare,item_30968.gif,15000,800,peta,4,1,999,single_use,all
10105,Dây chuyền băng tinh,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,rare,item_30969.gif,20000,800,peta,5,1,999,single_use,all
10106,Dây chuyền hỏa tinh,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,rare,item_30970.gif,40000,800,peta,6,1,999,single_use,all
10107,Dây chuyền tà thần,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,epic,item_30971.gif,0,800,peta,7,1,999,single_use,all
10108,Dây chuyền thiên thạch,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,epic,item_30972.gif,0,800,peta,8,1,999,single_use,all
10109,Dây chuyền huyền tinh,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,legendary,item_30973.gif,0,800,peta,9,1,999,single_use,all
10110,Dây chuyền long châu,Tăng phòng thủ cho thú cưng.,booster,stat_boost,def_boost,legendary,item_30974.gif,0,800,peta,10,1,999,single_use,all
10201,Nhẫn tam bảo,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,common,item_30975.gif,5000,800,peta,1,1,999,single_use,all
10202,Nhẫn hoàng vũ,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,common,item_30976.gif,7000,800,peta,2,1,999,single_use,all
10203,Nhẫn kim cương,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,common,item_30977.gif,9000,800,peta,3,1,999,single_use,all
10204,Nhẫn thần ưng,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,rare,item_30978.gif,15000,800,peta,4,1,999,single_use,all
10205,Nhẫn thạch anh,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,rare,item_30979.gif,20000,800,peta,5,1,999,single_use,all
10206,Nhẫn tà thần,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,rare,item_30980.gif,40000,800,peta,6,1,999,single_use,all
10207,Nhẫn hồng ngọc,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,epic,item_30981.gif,0,800,peta,7,1,999,single_use,all
10208,Nhẫn thiên địa,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,epic,item_30982.gif,0,800,peta,8,1,999,single_use,all
10209,Nhẫn hoàng kim,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,legendary,item_30983.gif,0,800,peta,9,1,999,single_use,all
10210,Nhẫn long châu,Tăng sức mạnh cho thú cưng.,booster,stat_boost,str_boost,legendary,item_30984.gif,0,800,peta,10,1,999,single_use,all
10301,Giày siêu tốc,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,common,item_30985.gif,5000,800,peta,1,1,999,single_use,all
10302,Giày lò xo,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,common,item_31208.gif,7000,800,peta,2,1,999,single_use,all
10303,Giày vạn lý,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,common,item_31098.gif,9000,800,peta,3,1,999,single_use,all
10304,Giày gia tốc,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,rare,item_31109.gif,15000,800,peta,4,1,999,single_use,all
10305,Giày xương chó,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,rare,item_31209.gif,20000,800,peta,5,1,999,single_use,all
10306,Giày pháp sư,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,rare,item_31210.gif,40000,800,peta,6,1,999,single_use,all
10307,Giày thiên thần,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,epic,item_31211.gif,0,800,peta,7,1,999,single_use,all
10308,Giày thần thú,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,epic,item_31212.gif,0,800,peta,8,1,999,single_use,all
10309,Giày thiên tinh,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,legendary,item_31213.gif,0,800,peta,9,1,999,single_use,all
10310,Giày hoàng kim,Tăng tốc độ cho thú cưng.,booster,stat_boost,spd_boost,legendary,item_31214.gif,0,800,peta,10,1,999,single_use,all
10401,Sách giáo khoa Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,common,item_30963.gif,5000,800,peta,1,1,999,single_use,all
10402,Sách lịch sử Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,common,item_31215.gif,7000,800,peta,2,1,999,single_use,all
10403,Từ điển cổ Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,common,item_31216.gif,9000,800,peta,3,1,999,single_use,all
10404,Sách bùa chú Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,rare,item_31217.gif,15000,800,peta,4,1,999,single_use,all
10405,Bách khoa toàn thư Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,rare,item_30964.gif,20000,800,peta,5,1,999,single_use,all
10406,Sách tà thuật Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,rare,item_31218.gif,40000,800,peta,6,1,999,single_use,all
10407,Sách tiên tri Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,epic,item_31219.gif,0,800,peta,7,1,999,single_use,all
10408,Sách tử thần Petaria,Tăng trí tuệ cho thú cưng,booster,stat_boost,int_boost,epic,item_31220.gif,0,800,peta,8,1,999,single_use,all
